date,time,username,wrist,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2017-6-30,13:51:15:847724020,viktor,0,0,0.2650,-0.7814,-0.0076,-0.0590,0.0325,-2.9296
2017-6-30,13:51:16:246945023,viktor,0,0,0.6722,-1.1233,-0.2344,-0.1757,0.0208,0.1269
2017-6-30,13:51:16:446233987,viktor,0,0,0.4399,-1.4817,0.0722,-0.9105,0.1063,-2.4367
2017-6-30,13:51:16:646117985,viktor,0,0,0.3031,-0.8125,0.0888,0.1199,-0.4099,-2.9336
2017-6-30,13:51:16:846738994,viktor,0,0,0.4814,-0.9312,0.0359,0.0527,0.4379,2.4922
2017-6-30,13:51:17:46806991,viktor,0,0,0.4044,-0.8056,-0.0956,0.6925,-0.2179,2.5750
2017-6-30,13:51:17:246767997,viktor,0,0,0.6320,-1.1290,-0.2982,0.0548,-0.1896,0.4473
2017-6-30,13:51:17:446569025,viktor,0,0,0.6670,-1.3503,-0.0880,-0.8094,-0.7938,-1.4348
2017-6-30,13:51:17:646152973,viktor,0,0,0.2704,-0.8633,0.1293,-0.4173,-0.1904,-2.6759
2017-6-30,13:51:17:846502006,viktor,0,0,0.4690,-1.0740,0.0219,0.0388,1.1491,1.6982
2017-6-30,13:51:18:46802997,viktor,0,0,0.2985,-0.7172,-0.0693,0.2326,0.4321,2.1009
2017-6-30,13:51:18:246815025,viktor,0,0,0.6364,-1.0452,-0.2400,0.1163,-0.1033,1.0822
2017-6-30,13:51:18:446740984,viktor,0,0,0.5683,-1.2486,-0.1310,-0.4556,-0.5281,-1.2407
2017-6-30,13:51:18:646052002,viktor,0,0,0.2911,-0.7748,0.0163,-0.2345,-0.0148,-2.5884
2017-6-30,13:51:18:846947014,viktor,0,0,0.4477,-1.1574,-0.0172,-0.1081,0.4016,0.6700
2017-6-30,13:51:19:46791970,viktor,0,0,0.2424,-0.7421,-0.0549,0.5714,-0.0506,2.1356
2017-6-30,13:51:19:247058987,viktor,0,0,0.6028,-1.0966,-0.3046,0.1674,-0.5065,1.0156
2017-6-30,13:51:19:446731984,viktor,0,0,0.4852,-1.3397,-0.0763,-0.8579,0.0096,-1.4015
2017-6-30,13:51:19:645977020,viktor,0,0,0.3017,-0.8366,0.0718,-0.2701,-0.4678,-2.7010
2017-6-30,13:51:19:847127020,viktor,0,0,0.4082,-1.0859,-0.0375,0.0848,-0.1050,0.2870
2017-6-30,13:51:20:46733021,viktor,0,0,0.3720,-0.8190,-0.2379,0.3006,0.1531,2.6873
2017-6-30,13:51:20:246771991,viktor,0,0,0.6363,-0.7532,-0.2972,-0.0726,-0.1945,1.4530
2017-6-30,13:51:20:446739971,viktor,0,0,0.7090,-1.1893,-0.2303,-0.1418,-1.4683,-1.2643
2017-6-30,13:51:20:646055996,viktor,0,0,0.3275,-0.7846,-0.0344,0.0436,-0.3678,-2.9826
2017-6-30,13:51:20:846733987,viktor,0,0,0.2957,-0.9224,-0.0462,0.1208,0.0853,-0.2949
2017-6-30,13:51:21:46055972,viktor,0,0,0.5468,-1.2653,-0.2362,0.1492,0.5586,3.5731
2017-6-30,13:51:21:246074974,viktor,0,0,0.5656,-0.8049,-0.1815,0.4349,-0.0852,1.4384
2017-6-30,13:51:21:446759998,viktor,0,0,0.7335,-1.3042,-0.2887,-0.4351,0.0151,-1.1675
2017-6-30,13:51:21:645960986,viktor,0,0,0.2843,-0.9344,-0.0459,-0.3433,-0.1396,-3.1056
2017-6-30,13:51:21:846737980,viktor,0,0,0.2854,-0.9109,0.0746,0.0790,0.0688,-1.5500
2017-6-30,13:51:22:46733021,viktor,0,0,0.5291,-1.2390,-0.1573,0.3893,-0.2878,3.0852
2017-6-30,13:51:22:247101008,viktor,0,0,0.5319,-0.7638,-0.1285,0.3973,-0.0524,2.0416
2017-6-30,13:51:22:446877002,viktor,0,0,0.5509,-1.4469,-0.1684,-0.1590,0.5247,-0.2822
2017-6-30,13:51:22:646080970,viktor,0,0,0.4053,-0.7735,-0.0511,-0.0841,-0.5589,-2.2833
2017-6-30,13:51:22:846728026,viktor,0,0,0.2938,-0.9424,0.0928,-0.5436,0.4212,-1.1527
2017-6-30,13:51:23:46966016,viktor,0,0,0.5140,-1.0203,-0.2959,0.7219,-0.1907,1.6697
2017-6-30,13:51:23:246728003,viktor,0,0,0.4652,-0.6219,-0.1181,0.5532,0.4083,1.6534
2017-6-30,13:51:23:446627974,viktor,0,0,0.5604,-1.2123,-0.2765,-0.3950,0.0046,0.5489
2017-6-30,13:51:23:646005988,viktor,0,0,0.5762,-1.1338,-0.0781,-0.2823,-1.0751,-1.6040
2017-6-30,13:51:23:846715986,viktor,0,0,0.2365,-0.8592,0.1061,-0.3530,0.3114,-2.2969
2017-6-30,13:51:24:46934008,viktor,0,0,0.4459,-1.1958,0.0135,0.3472,0.3493,1.6180
2017-6-30,13:51:24:246806979,viktor,0,0,0.3306,-0.7377,-0.0852,0.5862,-0.3914,2.0878
2017-6-30,13:51:24:446799993,viktor,0,0,0.6213,-1.1723,-0.2599,0.0188,-0.2731,0.7516
2017-6-30,13:51:24:645982027,viktor,0,0,0.4872,-1.1931,-0.0351,-0.5722,-0.5391,-1.4604
2017-6-30,13:51:24:846868991,viktor,0,0,0.2804,-0.8719,0.0750,-0.3699,0.1381,-2.3609
2017-6-30,13:51:25:46871006,viktor,0,0,0.4056,-1.2032,0.0102,-0.2242,0.4722,0.8533
2017-6-30,13:51:25:246993005,viktor,0,0,0.3337,-0.6742,-0.0606,-0.6249,1.6331,2.0391
2017-6-30,13:51:25:446923017,viktor,0,0,0.6582,-1.0350,-0.1183,-0.6174,0.9292,1.6138
2017-6-30,13:51:25:645981013,viktor,0,0,0.7001,-1.1561,-0.1305,0.1899,-0.0869,-0.8852
2017-6-30,13:51:25:846917986,viktor,0,0,0.3547,-0.8853,-0.0107,0.3715,-0.9418,-2.7084
2017-6-30,13:51:26:47057986,viktor,0,0,0.3895,-0.9959,0.0459,-0.4890,0.6190,0.5679
2017-6-30,13:51:26:246820986,viktor,0,0,0.3238,-0.8770,-0.0594,0.3748,-0.8984,2.5428
2017-6-30,13:51:26:446904003,viktor,0,0,0.6620,-0.7942,-0.2785,0.2064,-0.3973,1.3190
2017-6-30,13:51:34:779731988,viktor,0,0,0.6929,-1.1423,-0.1246,-0.2950,-0.7894,-1.0990
2017-6-30,13:51:34:979173004,viktor,0,0,0.2491,-0.8098,-0.0453,-0.2112,-0.0623,-2.8868
2017-6-30,13:51:35:179674983,viktor,0,0,0.3197,-0.8978,0.0555,-0.1366,0.1722,-0.8806
2017-6-30,13:51:35:379680991,viktor,0,0,0.5569,-1.4246,-0.1935,0.3919,-1.1598,3.5336
2017-6-30,13:51:35:578998982,viktor,0,0,0.3874,-0.6626,-0.1261,0.5992,0.3975,0.8820
